"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LE","ASSOCIATED_BU","GAAP_GL_BOOK_OF_RECORD","OG_LEGACY_ERP_SOURCE","OG_LEGACY_ERP_SOURCE_DESC"
"LB_437D","437D","BH2620_OGMEAS_BJ Services Company Africa Limited","LE_BH2620","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_265E","265E","BH2655_OGMEAS_BJ Services Company Middle East Limited","LE_BH2655","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_638D","638D","BH2655_OGMEAS_BJ Services Company Middle East Limited","LE_BH2655","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_4250","4250","BH9099_OGDRIL_Baker Hughes EHO Ltd., Niger Branch","LE_BH9099","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_028F","028F","BH2050_OGHQTR_Baker Hughes (Nederland) B.V.","LE_BH2050","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_504H","504H","BH5040_OGHQTR_Baker Hughes Singapore Pte","LE_BH5040","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_504Q","504Q","BH5045_OGHQTR_HCCbits Malaysia Sdn. Bhd.","LE_BH5045","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_R403","R403","PS0066_OGDRIL Baker Hughes Energy (Thailand) Limited","LE_PS0066","BU_OGDRIL","GL_GL034","OE_GL034001","CCL Classic - CO Strategic"
"LB_R353","R353","PS0286_OGDRIL_General Electric Saudi Arabia Limited","LE_PS0286","BU_OGDRIL","GL_GLG06","OE_GLG06MJE","MJE Source"
"LB_R294","R294","IF1797_OGDRIL Copgo Argentina S.A.","LE_IF1797","BU_OGDRIL","GL_GLG06","OE_GLG06016","Oilfield SAP"
"LB_3595","3595","IF1798_OGDRIL_GE Oil & Gas ESP, S.C.S.","LE_IF1798","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_R140","R140","IF1798_OGDRIL_GE Oil & Gas ESP, S.C.S.","LE_IF1798","BU_OGDRIL","GL_GLG06","OE_GLG06013","Syteline"
"LB_R326","R326","IF1798_OGDRIL_GE Oil & Gas ESP, S.C.S.","LE_IF1798","BU_OGDRIL","GL_GLG06","OE_GLG06MJE","MJE Source"
"LB_271D","271D","BH2035_OGMEAS_Baker Hughes Operations SAS","LE_BH2035","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_023F","023F","BH2040_OGMEAS_Baker Hughes S.r.l.","LE_BH2040","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_6335","6335","BH9067_OGDRIL_BJ Services Company Middle East Sarl, Oman Branch","LE_BH9067","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_6370","6370","BH9068_OGDRIL_BJ Services Company Middle East Sarl, Kuwait Branch","LE_BH9068","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H604","H604","OG1129_OGHQTR_Baker Hughes Energy Netherlands B.V.","LE_OG1129","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_YSZ2","YSZ2","PS0286_OGHQTR_General Electric Saudi Arabia Limited","LE_PS0286","BU_OGHQTR","GL_GLG06","OE_GLG06012","Oracle Oscar"
"LB_H130","H130","IF1223_OGHQTR_Vetco Gray Scandinavia AS","LE_IF1223","BU_OGHQTR","GL_GLG06","OE_GLG06019","SAP R/3 - Norway"
"LB_409H","409H","BH9009_OGHQTR_Western Atlas International Inc., Algeria Branch","LE_BH9009","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_312H","312H","BH9018_OGHQTR_Baker Hughes Services International LLC, Ecuador Branch","LE_BH9018","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_223H","223H","BH2877_OGHQTR_Baker Hughes International Holdings S.a.r.l.","LE_BH2877","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_097F","097F","BH2881_OGHQTR_Baker Hughes International GmbH & Co. KG","LE_BH2881","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_106H","106H","BH1060_OGHQTR_Baker Hughes Holdings LLC","LE_BH1060","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H290","H290","BH1060_OGHQTR_Baker Hughes Holdings LLC","LE_BH1060","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_107H","107H","BH1070_OGHQTR_Western Atlas International LLC","LE_BH1070","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5400","5400","IF1363_OGDRIL_Sondex Middle East FZCO","LE_IF1363","BU_OGDRIL","GL_GLG06","OE_GLG06002","DS SAP"
"LB_A200","A200","IF1835_OGDRIL Baker Hughes Energy Services Argentina S.A.","LE_IF1835","BU_OGDRIL","GL_GLG06","OE_GLG06013","Syteline"
"LB_4075","4075","BH9100_OGDRIL_Baker Hughes EHO Ltd., Morocco Branch","LE_BH9100","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_4230","4230","BH9101_OGDRIL_Baker Hughes EHO Ltd., Mauritania Branch","LE_BH9101","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_6204","6204","BH9102_OGDRIL_Baker Hughes EHO Ltd., Kuwait Tax Registration","LE_BH9102","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_505H","505H","BH5050_OGHQTR_Baker Hughes (Malaysia) Sdn. Bhd.","LE_BH5050","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_509H","509H","BH5095_OGHQTR_P.T. Baker Hughes Indonesia","LE_BH5095","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_625H","625H","BH9096_OGHQTR_Baker Hughes EHO Ltd., Qatar Branch","LE_BH9096","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_R338","R338","PS0396_OGDRIL_Baker Hughes Products and Services, S. de R.L. de C.V.","LE_PS0396","BU_OGDRIL","GL_GL034","OE_GL034001","CCL Classic - CO Strategic"
"LB_031F","031F","BH2060_OGHQTR_Baker Hughes Denmark ApS","LE_BH2060","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_L320","L320","OG1008_OGDRIL_Lufkin France, S.A.S","LE_OG1008","BU_OGDRIL","GL_GLG06","OE_GLG06016","Oilfield SAP"
"LB_4420","4420","BH9069_OGDRIL_Baker Hughes Morocco, BJ Services Company Middle East Sarl","LE_BH9069","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H349","H349","PS0394_OGHQTR_General Electric International (LLC)","LE_PS0394","BU_OGHQTR","GL_GL034","OE_GL034001","CCL Classic - CO Strategic"
"LB_H029","H029","PS0396_OGHQTR_Baker Hughes Products and Services, S. de R.L. de C.V.","LE_PS0396","BU_OGHQTR","GL_GL034","OE_GL034001","CCL Classic - CO Strategic"
"LB_256D","256D","BH2040_OGMEAS_Baker Hughes S.r.l.","LE_BH2040","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H608","H608","OG1130_OGHQTR_Baker Hughes Pacific Holdings B.V.","LE_OG1130","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_H605","H605","OG1131_OGHQTR_Baker Hughes Asia Holdings B.V.","LE_OG1131","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_209H","209H","BH9019_OGHQTR_Baker Hughes Services International LLC, Kazakhstan Branch","LE_BH9019","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_230H","230H","BH9020_OGHQTR_Baker Hughes Services Int'l LLC, Azerbaijan Rep office","LE_BH9020","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_306H","306H","BH9028_OGHQTR_Baker Hughes International Branches LLC, Ecuador Branch","LE_BH9028","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_309H","309H","BH9029_OGHQTR_Baker Hughes International Branches LLC-Ltda. Sucursal Bolivia","LE_BH9029","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_108H","108H","BH1080_OGHQTR_Baker Petrolite LLC","LE_BH1080","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_102F","102F","BH2886_OGHQTR_Baker Hughes Process and Pipeline Services JSC","LE_BH2886","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_301H","301H","BH3010_OGHQTR_Baker Hughes Argentina, S.R.L.","LE_BH3010","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_R193","R193","IF1840_OGDRIL_ESP Guatemala Services, S.A.","LE_IF1840","BU_OGDRIL","GL_GL034","OE_GL034001","CCL Classic - CO Strategic"
"LB_R405","R405","IF1842_OGDRIL_Nuovo Pignone International S.r.l. - Sucursal del Peru","LE_IF1842","BU_OGDRIL","GL_GL034","OE_GL034001","CCL Classic - CO Strategic"
"LB_E414","E414","CP1486_OGDRIL_Oil and Gas U.S. Treasury Services LLC","LE_CP1486","BU_OGDRIL","GL_GL017","OE_GL017001","Oracle Cloud - BKR Strategic"
"LB_R686","R686","CPEL15_OGDRIL_BHGE Management Relief - PLACEHOLDER - NON LEGAL ENTITY","LE_CPEL15","BU_OGDRIL","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_516H","516H","BH9097_OGHQTR_Baker Hughes EHO Ltd., Pakistan Branch","LE_BH9097","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_608H","608H","BH9098_OGHQTR_Baker Hughes EHO Ltd., Oman Branch","LE_BH9098","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_620H","620H","BH9102_OGHQTR_Baker Hughes EHO Ltd., Kuwait Tax Registration","LE_BH9102","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_034F","034F","BH2070_OGHQTR_Baker Hughes Norge A/S","LE_BH2070","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_512H","512H","BH5125_OGHQTR_Baker Hughes New Zealand PTY Limited","LE_BH5125","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_L902","L902","OG1009_OGDRIL_Lufkin Argentina Holding I, LLC","LE_OG1009","BU_OGDRIL","GL_GLG06","OE_GLG06016","Oilfield SAP"
"LB_R152","R152","IF1800_OGDRIL_ESP Logistics Asia Pacific Pte. Ltd.","LE_IF1800","BU_OGDRIL","GL_GLG06","OE_GLG06013","Syteline"
"LB_R153","R153","IF1801_OGDRIL_PT ESP Mulia Indonesia","LE_IF1801","BU_OGDRIL","GL_GLG06","OE_GLG06013","Syteline"
"LB_R154","R154","IF1802_OGDRIL_PT GE Oil & Gas Indonesia","LE_IF1802","BU_OGDRIL","GL_GL036","OE_GL036001","CCL Fusion - CO Strategic"
"LB_R330","R330","IF1235_OGDRIL_Baker Hughes Energy Technology do Brasil Limitada","LE_IF1235","BU_OGDRIL","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
