"LE_ID","OWNER_LE_ID"
"BR2653","BH2050"
"BR2654","IF1793"
"BR2657","I10234"
"BR2669","BH1370"
"BR2670","IF1793"
"BR3000","BH5315"
"BR3001","IF1222"
"BR3002","BH2480"
"CP0024",""
"CP0115",""
"CP1049",""
"CP1243",""
"CP1295",""
"CP1361",""
"CP1479",""
"CP1483",""
"CP1486",""
"CP1487",""
"CS1212",""
"D71001",""
"DRS001",""
"DRS003",""
"DRS004",""
"DRS006",""
"DRS022",""
"DRS023",""
"DRS024",""
"DRS025",""
"DRS036",""
"DRS037",""
"DRS059",""
"DRS207",""
"DRS209",""
"DRS212",""
"DRS213",""
"DRS214",""
"DRS359",""
"DRS360",""
"DRS404",""
"DRS431",""
"DRS438",""
"DRS501",""
"I00166",""
"I00297",""
"I00T05",""
"I00T45",""
"I10234",""
"I10347",""
"I10435",""
"I10486",""
"ID1035","CP0024"
"ID1051",""
"IF1011","I10234"
"IF1012","I10234"
"IF1013","I10234"
"IF1029","I10234"
"IF1129","I10234"
"IF1130","I10234"
"IF1131",""
"IF1218",""
"IF1221",""
"IF1222",""
"IF1223",""
"IF1231",""
"IF1232",""
"IF1235",""
"IF1236",""
"IF1237",""
"IF1238",""
"IF1240",""
"IF1241",""
"IF1242",""
"IF1244",""
"IF1245",""
"IF1246",""
"IF1247",""
"IF1249",""
"IF1250",""
"IF1252",""
"IF1263",""
"IF1270",""
"IF1276",""
"IF1319","I10234"
"IF1349",""
"IF1353",""
"IF1354",""
"IF1358",""
"IF1363",""
"IF1368",""
"IF1369",""
"IF1544",""
"IF1548","IF1222"
"IF1561",""
"IF1562",""
"IF1563",""
"IF1564",""
"IF1565",""
"IF1569",""
"IF1570",""
"IF1645","IF1270"
"IF1652","I10234"
"IF1673","I10234"
"IF1683","I10234"
"IF1684","I10234"
"IF1689","I10435"
"IF1690",""
"IF1698",""
"IF1703",""
"IF1704","IF1240"
"IF1705","IF1241"
"IF1706","IF1222"
"IF1709","I10234"
"IF1716",""
"IF1719",""
"IF1726","I10234"
"IF1741","IF1241"
"IF1750",""
"IF1752",""
"IF1771",""
"IF1773",""
"IF1774",""
"IF1792",""
"IF1793",""
"IF1797",""
"IF1798",""
"IF1800",""
"IF1801",""
"IF1802",""
"IF1804",""
"IF1806",""
"IF1808",""
"IF1810",""
"IF1812",""
"IF1815",""
"IF1818",""
"IF1821",""
"IF1822",""
"IF1826",""
"IF1828",""
"IF1830",""
"IF1832",""
"IF1833",""
"IF1834",""
"IF1835",""
"IF1836",""
"IF1837",""
"IF1838",""
"IF1840",""
"IF1841",""
"IF1842","I10234"
"IF1845","IF1810"
"IF1846","IF1810"
"IF1890","IF1818"
"IF1891","IF1818"
"IF1894","I10234"
"IF1900",""
"IF1902","I10234"
"IF1905",""
"IF1906","I10234"
"IF1907","IF1815"
"IF1908","I10234"
"IF1909","I10234"
"IF1920",""
"IF1921",""
"IF1922",""
"IF1923",""
"IS0084",""
"IS0091",""
"IS0093",""
"IS0096",""
"K60002",""
"LE0002",""
"LE0003",""
"LE0004",""
"LE0005",""
"LE0006",""
"LE0007",""
"LE0008",""
"LS3001",""
"OG1002","OG1003"
"OG1003",""
"OG1004",""
"OG1005",""
"OG1008",""
"OG1009",""
"OG1010",""
"OG1014",""
"OG1016",""
"OG1032",""
"OG1041",""
"OG1042",""
"OG1043",""
"OG1044",""
"OG1049",""
"OG1055",""
"OG1059","OG1003"
"OG1062",""
"OG1066",""
"OG1068",""
"OG1070",""
"OG1074",""
"OG1076",""
"OG1086",""
"OG1087",""
"OG1088",""
"OG1089",""
"OG1090",""
"OG1100",""
"OG1105",""
"OG1106",""
"OG1107",""
"OG1108",""
"OG1109",""
"OG1110",""
"OG1111",""
"OG1113",""
"OG1116",""
"OG1117",""
"OG1125",""
"OG1126",""
"OG1127",""
"OG1128",""
"OG1129",""
"OG1130",""
"OG1131",""
