"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LB","ASSOCIATED_LE","ASSOCIATED_BU"
"RF_S11505","S11505","RUS-KZ-Astana-West-Kazakhstan Oblast, Burlin Reg, Aksai city, 10 microdistrict, House 27, office 312_BR2024-S115","LB_S115","LE_I10234","BU_OGSUBS"
"RF_T04101","T04101","RUS-KZ-Astana-01-colo_LE_BR2024","LB_T041","LE_BR2024","BU_OGTBMS"
"RF_T06495","T06495","RUS-KZ-Astana-West-Kazakhstan Oblast, Burlin Reg, Aksai city, 10 microdistrict, House 27, office 312_BR2024-T064","LB_T064","LE_I10234","BU_OGTBMS"
"RF_TX3401","TX3401","RUS-KZ-Astana-01-colo_LE_CP1099","LB_TX34","LE_CP1099","BU_OGTBMS"
"RF_U00501","U00501","RUS-KZ-Astana-01-colo_ME_LB_RCKZ3","LB_U005","LE_BR1119","BU_OGTBMS"
"RF_U03501","U03501","RUS-KZ-Astana-01-colo_LE_BR2024","LB_U035","LE_BR2024","BU_OGTBMS"
"RF_U05805","U05805","RUS-KZ-Astana-01-colo-LE_BR2024-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U12401","U12401","RUS-KZ-Astana-01-colo_ME_LB_INTM1","LB_U124","LE_CP1099","BU_OGTBMS"
"RF_U15101","U15101","RUS-KZ-Astana-01-colo_ME_LB_CSKPO","LB_U151","LE_CP1246","BU_OGTBMS"
"RF_H61201","H61201","RUS-KZ-Astana-15/1 Kabanbai Batyr avenue, Business Center Q2-LB_H612","LB_H612","LE_OG1140","BU_OGHQTR"
"RF_M61001","M61001","RUS-KZ-Astana-15/1 Kabanbai Batyr avenue, Business Center Q2-LB_M610","LB_M610","LE_OG1140","BU_OGMEAS"
"RF_R60901","R60901","RUS-KZ-Astana-15/1 Kabanbai Batyr avenue, Business Center Q2-LB_R609","LB_R609","LE_OG1140","BU_OGSUBS"
"RF_R68501","R68501","RUS-KZ-Astana-15/1 Kabanbai Batyr avenue, Business Center Q2_OG1140_R685","LB_R685","LE_OG1140","BU_OGDRIL"
"RF_U31701","U31701","RUS-KZ-Astana-15/1 Kabanbai Batyr avenue, Business Center Q2-LB_U317","LB_U317","LE_OG1140","BU_OGTBMS"
"RF_T78301","T78301","RUS-KZ-Western Kazakhstan Oblast-Micro-district10th, Block 27 Rm 312_T783","LB_T783","LE_BR2024","BU_OGTBMS"
"RF_U65401","U65401","RUS-KZ-Western Kazakhstan Oblast-Micro-district10th, Block 27 Rm 312_U654","LB_U654","LE_BR2024","BU_OGTBMS"
"RF_290D01","290D01","RUS-KZ-Atyrau-Smagulova Street, Building 1_290D","LB_290D","LE_OG1195","BU_OGMEAS"
"RF_YQ1201","YQ1201","RUS-KZ-ATYRAU-SMAGULOVA STREET, BUILDING 1_YQ12","LB_YQ12","LE_OG1195","BU_OGDRIL"
"RF_286701","286701","RUS-KZ-Aktau-Mangistau Village, 130006_2867","LB_2867","LE_BH2866","BU_OGDRIL"
"RF_287D01","287D01","RUS-KZ-Aktau-Mangistau Village, 130006_287D","LB_287D","LE_BH2866","BU_OGMEAS"
"RF_209501","209501","RUS-KZ-BAKER-LB_2095","LB_2095","LE_BH9019","BU_OGDRIL"
"RF_209B01","209B01","RUS-KZ-BAKER-LB_209B","LB_209B","LE_BH1305","BU_OGOFSV"
"RF_209D01","209D01","RUS-KZ-BAKER-LB_209D","LB_209D","LE_BH9019","BU_OGMEAS"
"RF_209H01","209H01","RUS-KZ-BAKER-Atyrau-Azattyk Avenue_209H","LB_209H","LE_BH9019","BU_OGHQTR"
"RF_256501","256501","RUS-KZ-BAKER-LB_2565","LB_2565","LE_BH2565","BU_OGDRIL"
"RF_256E01","256E01","RUS-KZ-BAKER-LB_256E","LB_256E","LE_BH2565","BU_OGMEAS"
"RF_286601","286601","RUS-KZ-BAKER-LB_2866","LB_2866","LE_BH2866","BU_OGDRIL"
"RF_286A01","286A01","RUS-KZ-BAKER-LB_286A","LB_286A","LE_BH2866","BU_OGOFSV"
"RF_286D01","286D01","RUS-KZ-BAKER-LB_286D","LB_286D","LE_BH2866","BU_OGMEAS"
"RF_288801","288801","RUS-KZ-BAKER_2888","LB_2888","LE_BH8013","BU_OGDRIL"
"RF_613001","613001","RUS-RU-Moscow-03-colo_ME_LB_B367","LB_6130","LE_CP0058","BU_OGMEAS"
"RF_H01401","H01401","RUS-RU-Moscow-03-colo_ME_LB_DPF42","LB_H014","LE_CP0058","BU_OGHQTR"
"RF_H05101","H05101","RUS-RU-Moscow-03-colo_LE_BR2041","LB_H051","LE_BR2041","BU_OGHQTR"
"RF_H05201","H05201","RUS-RU-Moscow-03-colo_LE_BR2049","LB_H052","LE_BR2049","BU_OGHQTR"
"RF_H05301","H05301","RUS-RU-Moscow-03-colo_LE_BR2050","LB_H053","LE_BR2050","BU_OGHQTR"
"RF_H05601","H05601","RUS-RU-Moscow-03-colo_LE_BR2068","LB_H056","LE_BR2068","BU_OGHQTR"
"RF_H05701","H05701","RUS-RU-Moscow-03-colo_LE_BR2069","LB_H057","LE_BR2069","BU_OGHQTR"
"RF_H06501","H06501","RUS-RU-Moscow-03-colo_LE_BR2118","LB_H065","LE_BR2118","BU_OGHQTR"
"RF_H06601","H06601","RUS-RU-Moscow-03-colo_LE_BR2119","LB_H066","LE_BR2119","BU_OGHQTR"
"RF_H07001","H07001","RUS-RU-Moscow-03-colo_LE_BR2128","LB_H070","LE_BR2128","BU_OGHQTR"
"RF_H07301","H07301","RUS-RU-Moscow-03-colo_LE_IF1012","LB_H073","LE_IF1012","BU_OGHQTR"
